"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Invalid password","1","0","","0"
"0","","0","Full checkout flow","1","0","","0"
"0","","0","Remove product from cart","1","0","","0"
"0","","0","Successful login","1","0","","0"
"0","","0","Locked out user","1","0","","0"
"0","","0","Add product to cart","1","0","","0"
"0","","0","Cart page shows added item","1","0","","0"
